id,abv,ibu,nacionalidade_id,nome,estilo,cervejaria_id,oncas
0,0.05,0.00,1436,Pub Beer,American Pale Lager,408,12.00
1,0.07,0.00,2265,Devils Cup,American Pale Ale (APA),177,12.00
2,0.07,0.00,2264,Rise of the Phoenix,American IPA,177,12.00
3,0.09,0.00,2263,Sinister,American Double / Imperial IPA,177,12.00
4,0.07,0.00,2262,Sex and Candy,American IPA,177,12.00
5,0.08,0.00,2261,Black Exodus,Oatmeal Stout,177,12.00
6,0.04,0.00,2260,Lake Street Express,American Pale Ale (APA),177,12.00
7,0.07,0.00,2259,Foreman,American Porter,177,12.00
8,0.06,0.00,2258,Jade,American Pale Ale (APA),177,12.00
9,0.09,0.00,2131,Cone Crusher,American Double / Imperial IPA,177,12.00
10,0.07,0.00,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12.00
11,0.07,0.00,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12.00
12,0.07,0.00,2097,Garce Selé,Saison / Farmhouse Ale,177,12.00
13,0.09,0.00,1980,Troll Destroyer,Belgian IPA,177,12.00
14,0.06,60.00,1979,Bitter Bitch,American Pale Ale (APA),177,12.00
15,0.06,0.00,2318,Ginja Ninja,Cider,154,12.00
16,0.06,0.00,2170,Cherried Away,Cider,154,12.00
17,0.06,0.00,2169,Rhubarbarian,Cider,154,12.00
18,0.06,0.00,1502,BrightCider,Cider,154,12.00
19,0.08,0.00,1593,He Said Baltic-Style Porter,Baltic Porter,368,12.00
20,0.08,0.00,1592,He Said Belgian-Style Tripel,Tripel,368,12.00
21,0.10,92.00,1036,Lower De Boom,American Barleywine,368,8.40
22,0.08,45.00,1024,Fireside Chat,Winter Warmer,368,12.00
23,0.08,0.00,976,Marooned On Hog Island,American Stout,368,12.00
24,0.04,42.00,876,Bitter American,American Pale Ale (APA),368,12.00
25,0.05,17.00,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.00
26,0.05,17.00,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.00
27,0.05,17.00,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.00
28,0.07,70.00,799,21st Amendment IPA (2006),American IPA,368,12.00
29,0.07,70.00,797,Brew Free! or Die IPA (2008),American IPA,368,12.00
30,0.07,70.00,796,Brew Free! or Die IPA (2009),American IPA,368,12.00
31,0.09,52.00,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.00
32,0.10,94.00,432,Hop Crisis,American Double / Imperial IPA,368,12.00
33,0.04,42.00,353,Bitter American (2011),American Pale Ale (APA),368,12.00
34,0.08,45.00,321,Fireside Chat (2010),Winter Warmer,368,12.00
35,0.07,65.00,173,Back in Black,American Black Ale,368,12.00
36,0.08,35.00,11,Monks Blood,Belgian Dark Ale,368,12.00
37,0.07,65.00,10,Brew Free! or Die IPA,American IPA,368,12.00
38,0.05,17.00,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.00
39,0.07,82.00,2519,Bimini Twist,American IPA,67,12.00
40,0.05,0.00,2518,Beach Blonde,American Blonde Ale,67,12.00
41,0.06,0.00,2517,Rod Bender Red,American Amber / Red Ale,67,12.00
42,0.04,11.00,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.00
43,0.04,18.00,2544,Send Help,American Blonde Ale,60,12.00
44,0.06,0.00,2324,Cast Iron Oatmeal Brown,American Brown Ale,60,12.00
45,0.06,0.00,2288,Reprise Centennial Red,American Amber / Red Ale,60,12.00
46,0.06,0.00,2287,Alter Ego,American Black Ale,60,12.00
47,0.07,0.00,2286,Divided Sky,American IPA,60,12.00
48,0.07,0.00,2285,Resurrected,American IPA,60,12.00
49,0.05,28.00,1870,Contact High,American Pale Wheat Ale,60,12.00
50,0.07,0.00,2603,Galaxyfest,American IPA,27,16.00
51,0.05,45.00,2602,Citrafest,American IPA,27,16.00
52,0.09,0.00,2220,Barn Yeti,Belgian Strong Dark Ale,27,16.00
53,0.07,65.00,2219,Scarecrow,American IPA,27,16.00
54,0.09,50.00,2218,Ironman,English Strong Ale,27,16.00
55,0.05,15.00,2217,Honey Kolsch,Kölsch,27,16.00
56,0.05,18.00,2216,Copperhead Amber,Belgian Dark Ale,27,16.00
57,0.06,75.00,972,Rude Parrot IPA,American IPA,481,16.00
58,0.05,30.00,866,British Pale Ale (2010),English Pale Ale,481,16.00
59,0.05,30.00,48,British Pale Ale,English Pale Ale,481,16.00
60,0.08,82.00,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.00
61,0.04,0.00,1583,Wolfmans Berliner,Berliner Weissbier,373,12.00
62,0.06,26.00,1165,Colorado Native,American Amber / Red Lager,462,12.00
63,0.06,26.00,431,Colorado Native (2011),American Amber / Red Lager,462,12.00
64,0.07,52.00,516,Jockamo IPA,American IPA,533,12.00
65,0.04,13.00,515,Purple Haze,Fruit / Vegetable Beer,533,12.00
66,0.04,17.00,514,Abita Amber,American Amber / Red Lager,533,12.00
67,0.08,68.00,2540,Citra Ass Down,American IPA,62,16.00
68,0.05,20.00,2539,The Brown Note,American Brown Ale,62,16.00
69,0.08,68.00,2686,Citra Ass Down,American Double / Imperial IPA,1,16.00
70,0.13,80.00,2685,London Balling,English Barleywine,1,16.00
71,0.08,25.00,2684,35 K,Milk / Sweet Stout,1,16.00
72,0.04,42.00,2683,A Beer,American Pale Ale (APA),1,16.00
73,0.05,25.00,2682,Rules are Rules,German Pilsener,1,16.00
74,0.07,21.00,2681,Flesh Gourdn,Pumpkin Ale,1,16.00
75,0.04,13.00,2680,Shonuff,Belgian Pale Ale,1,16.00
76,0.06,17.00,2679,Bloody Show,American Pilsner,1,16.00
77,0.08,68.00,2678,Rico Sauvin,American Double / Imperial IPA,1,16.00
78,0.05,38.00,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.00
79,0.07,0.00,2676,Kamen Knuddeln,American Wild Ale,1,16.00
80,0.06,65.00,2675,Pile of Face,American IPA,1,16.00
81,0.05,20.00,2674,The Brown Note,English Brown Ale,1,16.00
82,0.05,35.00,1594,Maylanis Coconut Stout,American Stout,367,16.00
83,0.05,35.00,1162,Oatmeal PSA,American Pale Ale (APA),367,16.00
84,0.05,33.00,1137,Pre Flight Pilsner,American Pilsner,367,16.00
85,0.04,20.00,2403,P-Town Pilsner,American Pilsner,117,12.00
86,0.05,36.00,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.00
87,0.08,103.00,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.00
88,0.05,40.00,1921,Freeride APA,American Pale Ale (APA),270,12.00
89,0.05,18.00,1920,Alaskan Amber,Altbier,270,12.00
90,0.06,0.00,2501,Hopalicious,American Pale Ale (APA),73,12.00
91,0.04,0.00,1535,Kentucky Kölsch,Kölsch,388,16.00
92,0.07,0.00,1149,Kentucky IPA,American IPA,388,16.00
93,0.05,0.00,1474,Dusty Trail Pale Ale,American Pale Ale (APA),401,16.00
94,0.06,0.00,1473,Damnesia,American IPA,401,16.00
95,0.06,43.00,837,Desolation IPA,American IPA,401,16.00
96,0.06,0.00,2592,Liberty Ale,American IPA,35,12.00
97,0.07,0.00,2578,IPA,American IPA,35,12.00
98,0.04,0.00,2577,Summer Wheat,American Pale Wheat Ale,35,12.00
99,0.05,0.00,2103,California Lager,American Amber / Red Lager,35,12.00
100,0.06,0.00,2102,Brotherhood Steam,California Common / Steam Beer,35,12.00
101,0.04,0.00,2291,Blood Orange Gose,Gose,171,12.00
102,0.04,0.00,1818,Keebarlin Pale Ale,American Pale Ale (APA),171,12.00
103,0.05,0.00,1738,"the Kimmie, the Yink and the Holy Gose",Gose,171,12.00
104,0.06,0.00,1563,Fall Hornin,Pumpkin Ale,171,12.00
105,0.06,13.00,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.00
106,0.06,4.00,1350,Summer Solstice,Cream Ale,171,12.00
107,0.07,80.00,1327,Hop Ottin IPA,American IPA,171,12.00
108,0.06,15.00,1326,Boont Amber Ale,American Amber / Red Ale,171,12.00
109,0.06,13.00,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.00
110,0.06,25.00,1217,El Steinber Dark Lager,Vienna Lager,171,16.00
111,0.06,15.00,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.00
112,0.06,4.00,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.00
113,0.06,13.00,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.00
114,0.07,6.00,523,Winter Solstice,Winter Warmer,171,12.00
115,0.07,80.00,367,Hop Ottin IPA (2011),American IPA,171,12.00
116,0.06,15.00,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.00
117,0.06,4.00,77,Summer Solstice (2011),Cream Ale,171,12.00
118,0.06,28.00,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.00
